Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering duration,source,source notes
Syzygium oleosum,,,,,,12.5,,,,,,AUSTRAITS_dataset_68,
Syzygium oleosum,,,,,,12.5,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,12.513,,20,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,,,,,,12.513,597.7,35,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,8.528,m2/kg,,,,12.59,,15,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,12.59,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.855,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Cleistanthus cunninghamii,,,,,,12.6,786.9,25,,,,AUSTRAITS_dataset_49,
Daphnandra tenuipes,,,,,,12.75,,,,,,AUSTRAITS_dataset_68,
Elaeocarpus obovatus,,,,,,12.77,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,51.646,m2/kg,,,,12.777,,1.5,,,,AUSTRAITS_dataset_8,
Dioscorea transversa,,,,,,12.78,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,12.82,,,,,,Gallagher_field_workPHD,
Callerya megasperma,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Sarcopteryx stipata,,,,,,12.833,,,,,,AUSTRAITS_dataset_68,
Trema tomentosa,,,,,,12.95,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,13,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.855,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Ligustrum sinense,,,,,,13.07,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,13.1,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,13.125,606.3,40,,,,AUSTRAITS_dataset_49,
Myrsine variabilis,,,,,,13.125,710,10,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,7.968,m2/kg,,,,13.183,0.53,,,,,AUSTRAITS_dataset_28,
Flagellaria indica,,,,,,13.23,,,,,ephemeral,AUSTRAITS_dataset_56,
Morinda jasminoides,,,,,,13.33,,,,,,Gallagher_field_workPHD,
Daphnandra tenuipes,,,,,,13.388,563.3,20,,,,AUSTRAITS_dataset_49,
Sarcopteryx stipata,,,,,,13.475,838.5,40,,,,AUSTRAITS_dataset_49,
Callerya megasperma,,,,,,13.48,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,13.75,,,,,,AUSTRAITS_dataset_68,
Atalaya salicifolia,,,,,,13.781,690,12,,,,AUSTRAITS_dataset_49,
Diospyros pentamera,,,,,,13.85,,,,,,Gallagher_field_workPHD,
Tristaniopsis laurina,,,,,,13.88,,,,,,AUSTRAITS_dataset_68,
Pandorea pandorana,,,,,,13.93,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,14,,,,,,AUSTRAITS_dataset_68,
Acmena smithii,,,,,,14,,,,,,AUSTRAITS_dataset_68,
Cryptocarya sclerophylla,,,,,,14,,15,,,,AUSTRAITS_dataset_49,
Pandorea pandorana,,,,,,14.02,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,14.06,,,,,,Gallagher_field_workPHD,
Cryptocarya glaucescens,10.87,m2/kg,,,,24,,10,323.99,,,AUSTRAITS_dataset_10,
Diospyros australis,6.065,m2/kg,,,,14.249,,2,,,,AUSTRAITS_dataset_8,
Diospyros australis,,,,,,14.25,,,,,,AUSTRAITS_dataset_68,
Pararchidendron pruinosum,,,,,,14.333,500,20,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,14.38,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,10.95,m2/kg,,,,24.1,,5,5.893,,,AUSTRAITS_dataset_10,
Flagellaria indica,18.496,m2/kg,,,,14.382,,2,,,,AUSTRAITS_dataset_8,
Tristaniopsis laurina,,,,,,14.569,825.6,30,,,,AUSTRAITS_dataset_49,
Heritiera trifoliolata,,,,,,14.667,,,,,,AUSTRAITS_dataset_68,
Heritiera trifoliolata,,,,,,14.667,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.67,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.67,,,,,,AUSTRAITS_dataset_68,
Beilschmiedia obtusifolia,,,,,,14.67,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,14.7,569,20,,,,AUSTRAITS_dataset_49,
Psydrax odorata,,,,,,14.7,780,15,,,,AUSTRAITS_dataset_49,
Neolitsea dealbata,16.9000,m2/kg,x,,,,,,,,,AUSTRAITS_dataset_23,
Synoum glandulosum,,,,,,14.798,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,87.5,cm2/g,,,,0.26,,,,,,AUSTRAITS_dataset_3,
Guioa semiglauca,,,,,,14.9,,,,,,Gallagher_field_workPHD,
Heritiera trifoliolata,11.018,m2/kg,,,,20.568,,,,,,AUSTRAITS_dataset_52,
Alphitonia excelsa,,,,,,14.91,,,,,,AUSTRAITS_dataset_68,
Cryptocarya triplinervis,,,,,,15,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,15.07,,,,,,Gallagher_field_workPHD,
Mallotus discolor,,,,,,15.17,,,,,,AUSTRAITS_dataset_68,
Pseudoweinmannia lachnocarpa,,,,,,15.356,727,35,,,,AUSTRAITS_dataset_49,
Lomandra longifolia,,,,,,15.39,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,15.48,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,,,,118.5,g/m2,15.58,0.53,7,,,,AUSTRAITS_dataset_39,
Dioscorea transversa,,,,,,15.65,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.67,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.67,,,,,,AUSTRAITS_dataset_68,
Cupaniopsis serrata,,,,,,15.75,,9,293.215,,,AUSTRAITS_dataset_49,
Cryptocarya triplinervis,,,,,,15.81,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,15.84,,,,,,Gallagher_field_workPHD,
Mallotus discolor,,,,,,15.925,580.5,30,,,,AUSTRAITS_dataset_49,
Parsonsia straminea,,,,,,16.06,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,11.076,m2/kg,,,,35.379,,0.8,,,,AUSTRAITS_dataset_52,
Flagellaria indica,14.522,m2/kg,,,,16.119,,,,,,AUSTRAITS_dataset_8,
Flagellaria indica,,,,,,16.12,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,16.15,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,16.21,,,,,,Gallagher_field_workPHD,
Acacia bakeri,,,,,,16.25,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.25,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.25,,,,,,AUSTRAITS_dataset_68,
Rhodamnia rubescens,,,,,,16.25,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,16.33,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,,,16.33,,,,,,AUSTRAITS_dataset_68,
Capparis arborea,,,,,,16.35,,,,,,Gallagher_field_workPHD,
Pararchidendron pruinosum,,,,,,16.43,,,,,,Gallagher_field_workPHD,
Glochidion ferdinandi,11.869,m2/kg,,,,18.402,,4,,,,AUSTRAITS_dataset_52,
Psychotria loniceroides,10.156,m2/kg,,,,16.489,,1.2,,,,AUSTRAITS_dataset_8,
Psychotria loniceroides,,,,,,16.49,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.5,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.5,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,16.5,,,,,,Gallagher_field_workPHD,
Acronychia oblongifolia,,,,,,16.52,537.5,20,,,,AUSTRAITS_dataset_49,
Diospyros geminata,,,,,,16.538,,10,,,,AUSTRAITS_dataset_49,
Endiandra virens,,,,,,16.625,,10,,,,AUSTRAITS_dataset_49,
Psychotria loniceroides,,,,,,16.66,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,16.8,,,,,,Gallagher_field_workPHD,
trema tomentosa,,,,,,16.867,,6,,,may,AUSTRAITS_dataset_29,
Rhodamnia rubescens,,,,,,16.87,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,12.059,m2/kg,,,,16.92,,8.5,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,16.92,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,16.94,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,16.942,,,,,,AUSTRAITS_dataset_68,
Ficus obliqua,,,,,,16.979,510,50,,,,AUSTRAITS_dataset_49,
Polyscias elegans,,,,,,16.98,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,17.01,,,,,,Gallagher_field_workPHD,
Acacia bakeri,,,,,,17.063,774,40,70.686,,,AUSTRAITS_dataset_49,
Rhodamnia rubescens,,,,,,17.063,662.2,30,,,,AUSTRAITS_dataset_49,
Streblus brunonianus,,,,,,17.063,650,30,,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,17.12,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,,,,,,17.12,,,,,,Gallagher_field_workPHD,
Embelia australiana,,,,,,17.136,,,,,,AUSTRAITS_dataset_49,
Hippocratea barbata,,,,,,17.15,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,17.15,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,,,,132.1,g/m2,17.16,,,,,,AUSTRAITS_dataset_43,
Syzygium australe,,,,,,17.17,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,,,,132.1,g/m2,17.2,0.69,8,,,,AUSTRAITS_dataset_61,
Alphitonia excelsa,,,,,,17.255,562,20,,,,AUSTRAITS_dataset_49,
Embelia australiana,,,,,,17.31,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,17.31,,,,,,Gallagher_field_workPHD,
Carex appressa,,,,,,17.48,,,,,,AUSTRAITS_dataset_68,
Ficus coronata,,,,,,17.5,,,,,,AUSTRAITS_dataset_68,
Glochidion ferdinandi,11.87,m2/kg,,,,10.7,,6,15.751,,,AUSTRAITS_dataset_10,
Alphitonia excelsa,,,,,,17.59,,,,,,AUSTRAITS_dataset_68,
Smilax australis,,,,,,17.71,,,,,,Gallagher_field_workPHD,
Capparis arborea,,,,,,17.83,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,17.836,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,17.84,,,,,,Gallagher_field_workPHD,
Cryptocarya bidwillii,,,,,,17.85,645,20,,,,AUSTRAITS_dataset_49,
Mischocarpus australis,,,,,,17.85,649.3,35,,,,AUSTRAITS_dataset_49,
Cryptocarya glaucescens,,,,,,18,,,,,,AUSTRAITS_dataset_68,
Cryptocarya obovata,,,,,,18,,,,,,AUSTRAITS_dataset_68,
Cryptocarya obovata,,,,,,18,,,,,,AUSTRAITS_dataset_68,
Pseudoweinmannia lachnocarpa,,,,,,18,,,,,,AUSTRAITS_dataset_68,
Capparis velutina,,,,,,18.2,,15,47.124,,,AUSTRAITS_dataset_49,
Endiandra discolor,,,,,,18.2,548,25,,,,AUSTRAITS_dataset_49,
Helicia glabriflora,,,,,,18.33,,,,,,AUSTRAITS_dataset_68,
Rhodomyrtus psidioides,,,,,,18.34,,,,,,Gallagher_field_workPHD,
Ficus coronata,,,,,,18.375,399.9,20,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,18.375,513,20,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,11.923,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Glochidion ferdinandi,11.869,m2/kg,,,,18.402,,4,,,,AUSTRAITS_dataset_8,
Cissus hypoglauca,,,,,,18.61,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.61,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.61,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,18.61,,,,,,Gallagher_field_workPHD,
Cissus antarctica,,,,,,18.67,,,,,,AUSTRAITS_dataset_68,
Cissus antarctica,,,,,,18.67,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,14.137,m2/kg,,,,18.671,,13,,,,AUSTRAITS_dataset_8,
Ligustrum lucidum,11.927,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Synoum glandulosum,,,,,,18.671,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,18.681,,5,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,18.72,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,18.74,,,,,,Gallagher_field_workPHD,
Arytera divaricata,,,,,,18.75,,,,,,AUSTRAITS_dataset_68,
Arytera divaricata,,,,,,18.75,,,,,,AUSTRAITS_dataset_68,
Drypetes deplanchei,,,,,,18.802,,25,,,,AUSTRAITS_dataset_49,
Notelaea microcarpa,,,,,,18.84,,,,,,AUSTRAITS_dataset_68,
Notelaea microcarpa,8.173,m2/kg,,,,18.844,,3,,,,AUSTRAITS_dataset_8,
Ligustrum lucidum,12.006,m2/kg,,,,27.951,,4.5,,,,AUSTRAITS_dataset_52,
Cryptocarya obovata,,,,,,18.9,550.4,45,,,,AUSTRAITS_dataset_49,
psychotria spp. 'shute harbour',,,,,,18.9,,5,,,,AUSTRAITS_dataset_49,
Alangium villosum,,,,,,19,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,,,,,,19,,,,,,AUSTRAITS_dataset_68,
Alangium villosum,,,,,,19,,,,,,AUSTRAITS_dataset_68,
Cryptocarya glaucescens,,,,,,19,,,,,,AUSTRAITS_dataset_68,
Ligustrum lucidum,12.01,m2/kg,,,,48,,3,21.379,,,AUSTRAITS_dataset_10,
Synoum glandulosum,10.107,m2/kg,,,,19.004,,1.2,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,19.004,,,,,,AUSTRAITS_dataset_68,
Euroschinus falcatus,,,,,,19.1,,,,,,Gallagher_field_workPHD,
Cinnamomum oliveri,,,,,,19.17,,,,,,AUSTRAITS_dataset_68,
Cinnamomum oliveri,,,,,,19.17,,,,,,AUSTRAITS_dataset_68,
Cinnamomum oliveri,,,,,,19.17,,,,,,AUSTRAITS_dataset_68,
Myrsine variabilis,,,,,,19.18,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,,,19.18,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,14.261,m2/kg,,,,19.184,,1,,,,AUSTRAITS_dataset_8,
Cupaniopsis anacardioides,12.14,m2/kg,,,,,,8,,,,AUSTRAITS_dataset_52,
Helicia glabriflora,,,,,,19.25,576.2,30,,,,AUSTRAITS_dataset_49,
Daphnandra apatela,,,,,,19.25,,,,,,AUSTRAITS_dataset_68,
Daphnandra apatela,,,,,,19.25,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,19.25,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,19.25,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,7.395,m2/kg,,,,19.28,,0.1,,,,AUSTRAITS_dataset_8,
Parsonsia straminea,12.204,m2/kg,,,,50.03,,17,,,,AUSTRAITS_dataset_52,
Diospyros australis,,,,,,19.28,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,,,,,,19.54,,,,,,AUSTRAITS_dataset_68,
Lomandra longifolia,2.477,m2/kg,,,,19.541,,1,,,,AUSTRAITS_dataset_8,
Rubus rosifolius,31.486,m2/kg,,,,19.553,,0.4,,,,AUSTRAITS_dataset_8,
Toona ciliata,12.804,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Rubus rosifolius,,,,,,19.553,,,,,,AUSTRAITS_dataset_68,
Capparis velutina,,,,,,19.6,,,31.416,,,AUSTRAITS_dataset_49,
Croton acronychioides,,,,,,19.6,,14,,,,AUSTRAITS_dataset_49,
Ficus opposita,,,,,,19.6,,8,,,,AUSTRAITS_dataset_56,
Pandorea pandorana,,,,,,19.6,,,50.265,,,AUSTRAITS_dataset_49,
Pouteria queenslandica,,,,,,19.6,,40,150.796,,,AUSTRAITS_dataset_49,
Senna sulfurea,,,,,,19.635,,11,56.549,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,9.573,m2/kg,,,,19.67,,12,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,13.1,m2/kg,,,,,,4,226.917,,,AUSTRAITS_dataset_10,
Pittosporum undulatum,,,,,,19.67,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,6.576,m2/kg,,,,19.699,,4,,,,AUSTRAITS_dataset_8,
Archirhodomyrtus beckleri,13.155,m2/kg,,,,8.64,,8,,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,19.7,,,,,,Gallagher_field_workPHD,
Trophis scandens,,,,,,19.74,,,,,,Gallagher_field_workPHD,
Smilax australis,13.134,m2/kg,,,,19.779,,0.7,,,,AUSTRAITS_dataset_8,
Smilax australis,,,,,,19.78,,,,,,AUSTRAITS_dataset_68,
Bridelia exaltata,,,,,,19.83,,,,,,AUSTRAITS_dataset_68,
Archidendron muellerianum,,,,,,19.833,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,19.92,,,,,,Gallagher_field_workPHD,
Cryptocarya glaucescens,,,,,,19.95,541.8,45,,,,AUSTRAITS_dataset_49,
Ficus obliqua,,,,,,20,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,20.12,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,10.249,m2/kg,,,,20.121,,1.6,,,,AUSTRAITS_dataset_8,
Notelaea longifolia,,,,,,20.15,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,20.166,0.75,,,,,AUSTRAITS_dataset_30,
Acmena smithii,,,,,,20.17,,,,,,AUSTRAITS_dataset_68,
Daphnandra apatela,,,,,,20.213,559,35,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,,,,,,20.213,731,25,,,,AUSTRAITS_dataset_49,
Glochidion ferdinandi,,,,,,20.23,,,,,,Gallagher_field_workPHD,
Drypetes deplanchei,,,,,,20.28,,,,,,Gallagher_field_workPHD,
Turraea pubescens,,,,,,20.3,,7,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.53,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,13.22,m2/kg,,,,2.816,,0,38.058,,,AUSTRAITS_dataset_10,
Heritiera trifoliolata,,,,,,20.568,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,20.58,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,,,,,,20.58,,,,,,AUSTRAITS_dataset_68,
Toona ciliata,,,,,,20.583,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,20.74,,,,,,Gallagher_field_workPHD,
Dioscorea transversa,,,,,,20.78,,,,,,Gallagher_field_workPHD,
Bridelia exaltata,,,,,,20.825,774,35,,,,AUSTRAITS_dataset_49,
Flagellaria indica,,,,,,20.83,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.83,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,20.83,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,20.88,,,,,,Gallagher_field_workPHD,
Alphitonia excelsa,9.897,m2/kg,,,,20.928,,20,,,,AUSTRAITS_dataset_8,
Eupomatia laurina,13.33,m2/kg,,,,24.07,,4,8.15,,,AUSTRAITS_dataset_10,
Alphitonia excelsa,,,,,,20.93,,,,,,AUSTRAITS_dataset_68,
Canarium australasicum,,,,,,21,,,,,,AUSTRAITS_dataset_68,
Canarium australasicum,,,,,,21,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21,,,,,,AUSTRAITS_dataset_68,
Melodorum leichhardtii,,,,,,21,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,21,,,,,,AUSTRAITS_dataset_68,
Wilkiea huegeliana,,,,,,21,,,,,,AUSTRAITS_dataset_68,
Pittosporum undulatum,,,,,,21.01,,,,,,Gallagher_field_workPHD,
Syzygium oleosum,,,,,,21.11,,,,,,Gallagher_field_workPHD,
Diospyros australis,,,,,,21.15,,,,,,Gallagher_field_workPHD,
Mischarytera lautereriana,,,,,,21.175,,30,,,,AUSTRAITS_dataset_49,
Ficus obliqua,,,,,,21.22,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,13.36,m2/kg,,,,21.3,,4,11.994,,,AUSTRAITS_dataset_10,
Psychotria loniceroides,,,,,,21.3,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,21.45,,,,,,AUSTRAITS_dataset_68,
Notelaea longifolia,,,,,,21.45,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,21.57,,,,,,Gallagher_field_workPHD,
Endiandra sieberi,,,,,,21.61,,,,,,Gallagher_field_workPHD,
Cyclophyllum coprosmoides,,,,,,21.788,,10,,,,AUSTRAITS_dataset_49,
Trema tomentosa,,,,59.04,g/m2,21.79,0.46,2.5,,,,AUSTRAITS_dataset_39,
Calamus muelleri,,,,,,21.95,,,,,,Gallagher_field_workPHD,
Elaeagnus triflora,,,,,,22.05,,,,,,AUSTRAITS_dataset_49,
Hippocratea barbata,,,,,,22.05,,,,,,AUSTRAITS_dataset_49,
Melodorum leichhardtii,,,,,,22.05,,,,,,AUSTRAITS_dataset_49,
Wilkiea huegeliana,,,,,,22.05,571.9,13.5,,,,AUSTRAITS_dataset_49,
Stephania japonica,25.97,m2/kg,,,,22.116,,0.1,,,,AUSTRAITS_dataset_8,
Stephania japonica,,,,,,22.12,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,,,,,,22.17,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,,,,,,22.17,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.17,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.17,,,,,,AUSTRAITS_dataset_68,
Eupomatia laurina,,,,,,22.17,,,,,,AUSTRAITS_dataset_68,
Diospyros australis,,,,,,22.31,,,,,,AUSTRAITS_dataset_68,
Castanospermum australe,13.524,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Diospyros australis,8.291,m2/kg,,,,22.313,,2,,,,AUSTRAITS_dataset_8,
Elaeocarpus grandis,,,,,,22.5,,,,,,AUSTRAITS_dataset_68,
Elaeocarpus grandis,,,,,,22.5,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,22.54,,,,,,AUSTRAITS_dataset_68,
Flagellaria indica,,,,,,22.54,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,22.6,,,,,,Gallagher_field_workPHD,
Mischocarpus pyriformis,,,,,,22.667,,,,,,AUSTRAITS_dataset_68,
drypetes deplanchei,,,,,,22.82,,15,,,sep/oct/nov,AUSTRAITS_dataset_29,
Pteridium esculentum,94.5,cm2/g,,,,28.581,,,,,,AUSTRAITS_dataset_3,
Drypetes deplanchei,,,,,,22.86,,,,,,Gallagher_field_workPHD,
Syzygium australe,,,,,,22.92,,,,,,Gallagher_field_workPHD,
Cissus hypoglauca,,,,,,22.969,,,,,,AUSTRAITS_dataset_49,
Tabernaemontana pandacaqui,,,,,,23.05,,,,,,AUSTRAITS_dataset_68,
Alchornea ilicifolia,,,,,,23.1,,7,,,,AUSTRAITS_dataset_49,
Trophis scandens,,,,,,23.1,,,,,,AUSTRAITS_dataset_49,
Notelaea longifolia,,,,,,23.11,,,,,,Gallagher_field_workPHD,
Cleistanthus cunninghamii,,,,,,23.15,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,12.618,m2/kg,,,,23.153,0.486,,,,,AUSTRAITS_dataset_28,
Cleistanthus cunninghamii,,,,,,23.23,,,,,,Gallagher_field_workPHD,
Toona ciliata,,,,,,23.275,389,45,,,,AUSTRAITS_dataset_49,
Endiandra pubens,,,,,,23.33,,,,,,AUSTRAITS_dataset_68,
Endiandra pubens,,,,,,23.33,,,,,,AUSTRAITS_dataset_68,
Endiandra pubens,,,,,,23.33,,,,,,AUSTRAITS_dataset_68,
Breynia oblongifolia,14,m2/kg,,,,2.545,,1.2,,,,AUSTRAITS_dataset_52,
Trophis scandens,5.652,m2/kg,,,,23.339,,,,,,AUSTRAITS_dataset_8,
Trophis scandens,,,,,,23.34,,,,,,AUSTRAITS_dataset_68,
Endiandra discolor,,,,131.48,g/m2,23.37,0.58,8,,,,AUSTRAITS_dataset_39,
Lomandra longifolia,6.431,m2/kg,,,,23.385,,1,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,,,,,,23.39,,,,,,AUSTRAITS_dataset_68,
Glochidion ferdinandi,,,,,,23.48,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,23.53,,,,,,Gallagher_field_workPHD,
Alectryon tomentosus,,,,,,23.625,,20,,,,AUSTRAITS_dataset_49,
Capparis arborea,,,,,,23.625,700,10,47.124,,,AUSTRAITS_dataset_49,
Diospyros australis,,,,,,23.74,,,,,,Gallagher_field_workPHD,
Cupaniopsis newmanii,,,,,,23.75,,,,,,AUSTRAITS_dataset_68,
Archidendron muellerianum,,,,,,23.8,,20,,,,AUSTRAITS_dataset_49,
Auranticarpa rhombifolia,,,,,,23.8,743.9,40,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,,,,,,23.81,,,,,,Gallagher_field_workPHD,
Euroschinus falcatus,,,,,,23.87,412,30,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,14.137,m2/kg,,,,18.671,,13,,,,AUSTRAITS_dataset_52,
Elattostachys nervosa,,,,,,24,,,,,,AUSTRAITS_dataset_68,
Elattostachys nervosa,,,,,,24,,,,,,AUSTRAITS_dataset_68,
Mallotus philippensis,,,,,,24,,,,,,AUSTRAITS_dataset_68,
Mallotus philippensis,,,,,,24,,,,,,AUSTRAITS_dataset_68,
Syzygium oleosum,,,,,,24,,,,,,Gallagher_field_workPHD,
Carex appressa,14.14,m2/kg,,,,36,,1,1.001,,,AUSTRAITS_dataset_10,
Eupomatia laurina,,,,,,24.07,,,,,,AUSTRAITS_dataset_68,
Rhodamnia argentea,,,,,,24.08,,,,,,AUSTRAITS_dataset_68,
Rhodamnia argentea,,,,,,24.08,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,14.157,m2/kg,,,,25.1,,3,,,,AUSTRAITS_dataset_52,
