"","Taxon","site","countSum"
"476","Archirhodomyrtus.beckleri","36",0
"477","Archirhodomyrtus.beckleri","37",0
"478","Archirhodomyrtus.beckleri","38",0
"479","Archirhodomyrtus.beckleri","39",0
"480","Archirhodomyrtus.beckleri","40",0
"481","Archirhodomyrtus.beckleri","41",0
"482","Archirhodomyrtus.beckleri","42",0
"483","Archirhodomyrtus.beckleri","43",0
"484","Archirhodomyrtus.beckleri","44",0
"485","Archontophoenix.spp","1",0
"486","Archontophoenix.spp","2",0
"487","Archontophoenix.spp","3",0
"488","Archontophoenix.spp","4",1
"489","Archontophoenix.spp","5",0
"490","Archontophoenix.spp","6",3
"491","Archontophoenix.spp","7",0
"492","Archontophoenix.spp","8",0
"493","Archontophoenix.spp","9",0
"494","Archontophoenix.spp","10",0
"495","Archontophoenix.spp","11",0
"496","Archontophoenix.spp","12",1
"497","Archontophoenix.spp","13",0
"498","Archontophoenix.spp","14",0
"499","Archontophoenix.spp","15",0
"500","Archontophoenix.spp","16",0
"501","Archontophoenix.spp","17",0
"502","Archontophoenix.spp","18",0
"503","Archontophoenix.spp","19",7
"504","Archontophoenix.spp","20",0
"505","Archontophoenix.spp","21",0
"506","Archontophoenix.spp","22",0
"507","Archontophoenix.spp","23",0
"508","Archontophoenix.spp","24",0
"509","Archontophoenix.spp","25",0
"510","Archontophoenix.spp","26",10
"511","Archontophoenix.spp","27",0
"512","Archontophoenix.spp","28",0
"513","Archontophoenix.spp","29",1
"514","Archontophoenix.spp","30",39
"515","Archontophoenix.spp","31",0
"516","Archontophoenix.spp","32",0
"517","Archontophoenix.spp","33",0
"518","Archontophoenix.spp","34",0
"519","Archontophoenix.spp","35",58
"520","Archontophoenix.spp","36",35
"521","Archontophoenix.spp","37",0
"522","Archontophoenix.spp","38",0
"523","Archontophoenix.spp","39",2
"524","Archontophoenix.spp","40",0
"525","Archontophoenix.spp","41",0
"526","Archontophoenix.spp","42",0
"527","Archontophoenix.spp","43",0
"528","Archontophoenix.spp","44",0
"529","Ardisia.crenata","1",0
"530","Ardisia.crenata","2",0
"531","Ardisia.crenata","3",0
"532","Ardisia.crenata","4",0
"533","Ardisia.crenata","5",0
"534","Ardisia.crenata","6",0
"535","Ardisia.crenata","7",0
"536","Ardisia.crenata","8",0
"537","Ardisia.crenata","9",0
"538","Ardisia.crenata","10",0
"539","Ardisia.crenata","11",0
"540","Ardisia.crenata","12",0
"541","Ardisia.crenata","13",0
"542","Ardisia.crenata","14",0
"543","Ardisia.crenata","15",1
"544","Ardisia.crenata","16",0
"545","Ardisia.crenata","17",0
"546","Ardisia.crenata","18",0
"547","Ardisia.crenata","19",1
"548","Ardisia.crenata","20",0
"549","Ardisia.crenata","21",0
"550","Ardisia.crenata","22",0
"551","Ardisia.crenata","23",0
"552","Ardisia.crenata","24",0
"553","Ardisia.crenata","25",0
"554","Ardisia.crenata","26",1
"555","Ardisia.crenata","27",0
"556","Ardisia.crenata","28",0
"557","Ardisia.crenata","29",4
"558","Ardisia.crenata","30",0
"559","Ardisia.crenata","31",0
"560","Ardisia.crenata","32",0
"561","Ardisia.crenata","33",0
"562","Ardisia.crenata","34",0
"563","Ardisia.crenata","35",0
"564","Ardisia.crenata","36",3
"565","Ardisia.crenata","37",0
"566","Ardisia.crenata","38",0
"567","Ardisia.crenata","39",0
"568","Ardisia.crenata","40",0
"569","Ardisia.crenata","41",0
"570","Ardisia.crenata","42",0
"571","Ardisia.crenata","43",0
"572","Ardisia.crenata","44",0
"573","Argyrodendron.trifoliolatum","1",3
"574","Argyrodendron.trifoliolatum","2",0
"575","Argyrodendron.trifoliolatum","3",0
"576","Argyrodendron.trifoliolatum","4",0
"577","Argyrodendron.trifoliolatum","5",0
"578","Argyrodendron.trifoliolatum","6",0
"579","Argyrodendron.trifoliolatum","7",0
"580","Argyrodendron.trifoliolatum","8",0
"581","Argyrodendron.trifoliolatum","9",0
"582","Argyrodendron.trifoliolatum","10",0
"583","Argyrodendron.trifoliolatum","11",1
"584","Argyrodendron.trifoliolatum","12",19
"585","Argyrodendron.trifoliolatum","13",0
"586","Argyrodendron.trifoliolatum","14",4
"587","Argyrodendron.trifoliolatum","15",0
"588","Argyrodendron.trifoliolatum","16",0
"589","Argyrodendron.trifoliolatum","17",0
"590","Argyrodendron.trifoliolatum","18",0
"591","Argyrodendron.trifoliolatum","19",0
"592","Argyrodendron.trifoliolatum","20",0
"593","Argyrodendron.trifoliolatum","21",0
"594","Argyrodendron.trifoliolatum","22",0
"595","Argyrodendron.trifoliolatum","23",109
"596","Argyrodendron.trifoliolatum","24",0
"597","Argyrodendron.trifoliolatum","25",0
"598","Argyrodendron.trifoliolatum","26",4
"599","Argyrodendron.trifoliolatum","27",0
"600","Argyrodendron.trifoliolatum","28",0
"601","Argyrodendron.trifoliolatum","29",0
"602","Argyrodendron.trifoliolatum","30",0
"603","Argyrodendron.trifoliolatum","31",0
"604","Argyrodendron.trifoliolatum","32",0
"605","Argyrodendron.trifoliolatum","33",0
"606","Argyrodendron.trifoliolatum","34",0
"607","Argyrodendron.trifoliolatum","35",5
"608","Argyrodendron.trifoliolatum","36",13
"609","Argyrodendron.trifoliolatum","37",0
"610","Argyrodendron.trifoliolatum","38",0
"611","Argyrodendron.trifoliolatum","39",0
"612","Argyrodendron.trifoliolatum","40",0
"613","Argyrodendron.trifoliolatum","41",0
"614","Argyrodendron.trifoliolatum","42",0
"615","Argyrodendron.trifoliolatum","43",0
"616","Argyrodendron.trifoliolatum","44",0
"617","Aristolochia.elegans","1",0
"618","Aristolochia.elegans","2",0
"619","Aristolochia.elegans","3",0
"620","Aristolochia.elegans","4",2
"621","Aristolochia.elegans","5",9
"622","Aristolochia.elegans","6",5
"623","Aristolochia.elegans","7",0
"624","Aristolochia.elegans","8",0
"625","Aristolochia.elegans","9",0
"626","Aristolochia.elegans","10",0
"627","Aristolochia.elegans","11",0
"628","Aristolochia.elegans","12",0
"629","Aristolochia.elegans","13",0
"630","Aristolochia.elegans","14",0
"631","Aristolochia.elegans","15",0
"632","Aristolochia.elegans","16",0
"633","Aristolochia.elegans","17",0
"634","Aristolochia.elegans","18",0
"635","Aristolochia.elegans","19",0
"636","Aristolochia.elegans","20",0
"637","Aristolochia.elegans","21",0
"638","Aristolochia.elegans","22",0
"639","Aristolochia.elegans","23",0
"640","Aristolochia.elegans","24",0
"641","Aristolochia.elegans","25",9
"642","Aristolochia.elegans","26",0
"643","Aristolochia.elegans","27",0
"644","Aristolochia.elegans","28",0
"645","Aristolochia.elegans","29",0
"646","Aristolochia.elegans","30",0
"647","Aristolochia.elegans","31",0
"648","Aristolochia.elegans","32",0
"649","Aristolochia.elegans","33",0
"650","Aristolochia.elegans","34",0
"651","Aristolochia.elegans","35",0
"652","Aristolochia.elegans","36",0
"653","Aristolochia.elegans","37",1
"654","Aristolochia.elegans","38",0
"655","Aristolochia.elegans","39",0
"656","Aristolochia.elegans","40",0
"657","Aristolochia.elegans","41",0
"658","Aristolochia.elegans","42",0
"659","Aristolochia.elegans","43",0
"660","Aristolochia.elegans","44",0
"661","Arytera.distylis","1",1
"662","Arytera.distylis","2",0
"663","Arytera.distylis","3",0
"664","Arytera.distylis","4",0
"665","Arytera.distylis","5",0
"666","Arytera.distylis","6",0
"667","Arytera.distylis","7",0
"668","Arytera.distylis","8",0
"669","Arytera.distylis","9",0
"670","Arytera.distylis","10",0
"671","Arytera.distylis","11",0
"672","Arytera.distylis","12",0
"673","Arytera.distylis","13",0
"674","Arytera.distylis","14",0
"675","Arytera.distylis","15",0
"676","Arytera.distylis","16",0
"677","Arytera.distylis","17",0
"678","Arytera.distylis","18",0
"679","Arytera.distylis","19",0
"680","Arytera.distylis","20",0
"681","Arytera.distylis","21",0
"682","Arytera.distylis","22",6
"683","Arytera.distylis","23",1
"684","Arytera.distylis","24",0
"685","Arytera.distylis","25",0
"686","Arytera.distylis","26",29
"687","Arytera.distylis","27",0
"688","Arytera.distylis","28",0
"689","Arytera.distylis","29",1
"690","Arytera.distylis","30",0
"691","Arytera.distylis","31",0
"692","Arytera.distylis","32",0
"693","Arytera.distylis","33",0
"694","Arytera.distylis","34",0
"695","Arytera.distylis","35",0
"696","Arytera.distylis","36",0
"697","Arytera.distylis","37",0
"698","Arytera.distylis","38",0
"699","Arytera.distylis","39",0
"700","Arytera.distylis","40",0
"701","Arytera.distylis","41",0
"702","Arytera.distylis","42",0
"703","Arytera.distylis","43",0
"704","Arytera.distylis","44",0
"705","Asparagus.plumosus","1",0
"706","Asparagus.plumosus","2",0
"707","Asparagus.plumosus","3",0
"708","Asparagus.plumosus","4",0
"709","Asparagus.plumosus","5",0
"710","Asparagus.plumosus","6",1
"711","Asparagus.plumosus","7",0
"712","Asparagus.plumosus","8",0
"713","Asparagus.plumosus","9",7
"714","Asparagus.plumosus","10",0
"715","Asparagus.plumosus","11",0
"716","Asparagus.plumosus","12",0
"717","Asparagus.plumosus","13",0
"718","Asparagus.plumosus","14",0
"719","Asparagus.plumosus","15",0
"720","Asparagus.plumosus","16",0
"721","Asparagus.plumosus","17",0
"722","Asparagus.plumosus","18",1
"723","Asparagus.plumosus","19",0
"724","Asparagus.plumosus","20",1
"725","Asparagus.plumosus","21",8
"726","Asparagus.plumosus","22",0
"727","Asparagus.plumosus","23",0
"728","Asparagus.plumosus","24",0
"729","Asparagus.plumosus","25",0
"730","Asparagus.plumosus","26",0
"731","Asparagus.plumosus","27",0
"732","Asparagus.plumosus","28",0
"733","Asparagus.plumosus","29",0
"734","Asparagus.plumosus","30",0
"735","Asparagus.plumosus","31",1
"736","Asparagus.plumosus","32",2
"737","Asparagus.plumosus","33",0
"738","Asparagus.plumosus","34",0
"739","Asparagus.plumosus","35",0
"740","Asparagus.plumosus","36",0
"741","Asparagus.plumosus","37",0
"742","Asparagus.plumosus","38",0
"743","Asparagus.plumosus","39",0
"744","Asparagus.plumosus","40",0
"745","Asparagus.plumosus","41",0
"746","Asparagus.plumosus","42",0
"747","Asparagus.plumosus","43",0
"748","Asparagus.plumosus","44",0
"749","Atractocarpus.chartaceus","1",0
"750","Atractocarpus.chartaceus","2",0
"751","Atractocarpus.chartaceus","3",0
"752","Atractocarpus.chartaceus","4",0
"753","Atractocarpus.chartaceus","5",0
"754","Atractocarpus.chartaceus","6",0
"755","Atractocarpus.chartaceus","7",0
"756","Atractocarpus.chartaceus","8",0
"757","Atractocarpus.chartaceus","9",0
"758","Atractocarpus.chartaceus","10",0
"759","Atractocarpus.chartaceus","11",0
"760","Atractocarpus.chartaceus","12",1
"761","Atractocarpus.chartaceus","13",0
"762","Atractocarpus.chartaceus","14",0
"763","Atractocarpus.chartaceus","15",0
"764","Atractocarpus.chartaceus","16",0
"765","Atractocarpus.chartaceus","17",0
"766","Atractocarpus.chartaceus","18",0
