"","Taxon","seed.mass","source"
"2239","Rhodomyrtus psidioides",2.47,"Gallagher_field_workPHD"
"2247","Rhodosphaera rhodanthema",448.871,"AUSTRAITS_dataset_53"
"2250","Ricinus communis",295.6,"AUSTRAITS_dataset_53"
"2801","Ripogonum spp",1.89,"Rob Kooyman"
"2258","Rubus moluccanus",0.85,"AUSTRAITS_dataset_52"
"2276","Rubus rosifolius",0.3,"AUSTRAITS_dataset_52"
"2281","Rubus rosifolius",0.4,"AUSTRAITS_dataset_53"
"2282","Rubus rosifolius",0.6,"AUSTRAITS_dataset_6"
"2293","Sarcopteryx stipata",37.19,"Gallagher_field_workPHD"
"2299","Schefflera actinophylla",9.92,"AUSTRAITS_dataset_52"
"2300","Schefflera actinophylla",2.7,"AUSTRAITS_dataset_52"
"2304","Schefflera actinophylla",7.4,"AUSTRAITS_dataset_53"
"2743","Schoenoplectus validus",0.91,"PIREL Seed Trait Database"
"2746","Senna pendula",18.5,"http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2745.2004.00938.x/full (Experimental evidence for the effects of additional water, nutrients and physical disturbance on invasive plants in low fertility Hawkesbury Sandstone soils, Sydney, Australia)"
"2309","Senna septemtrionalis",20.604,"AUSTRAITS_dataset_53"
"2313","Senna sulfurea",56.549,"AUSTRAITS_dataset_49"
"2314","Senna sulfurea",28.81,"AUSTRAITS_dataset_53"
"2340","Smilax australis",29.809,"AUSTRAITS_dataset_10"
"2381","Smilax australis",40.76,"AUSTRAITS_dataset_6"
"2387","Solanum chrysotrichum",1.388,"AUSTRAITS_dataset_53"
"2388","Solanum mauritianum",1.03,"AUSTRAITS_dataset_52"
"2390","Solanum mauritianum",1.11,"AUSTRAITS_dataset_53"
"2397","Solanum seaforthianum",2.32,"AUSTRAITS_dataset_52"
"2399","Solanum seaforthianum",1.91,"AUSTRAITS_dataset_53"
"2401","Solanum torvum",1,"AUSTRAITS_dataset_53"
"2414","Stephania japonica",23.562,"AUSTRAITS_dataset_49"
"2415","Stephania japonica",18.581,"AUSTRAITS_dataset_10"
"2427","Stephania japonica",17.52,"AUSTRAITS_dataset_53"
"2428","Stephania japonica",19.72,"AUSTRAITS_dataset_6"
"2447","Streblus brunonianus",12,"AUSTRAITS_dataset_52"
"2501","Synoum glandulosum",226.917,"AUSTRAITS_dataset_10"
"2504","Synoum glandulosum",142.822,"AUSTRAITS_dataset_11"
"2510","Synoum glandulosum",189.67,"AUSTRAITS_dataset_53"
"2529","Syzygium australe",259.335,"AUSTRAITS_dataset_53"
"2530","Syzygium australe",259.34,"Gallagher_field_workPHD"
"2554","Syzygium luehmannii",20.2,"AUSTRAITS_dataset_53"
"2573","Syzygium oleosum",216.49,"AUSTRAITS_dataset_53"
"2588","Tabernaemontana pandacaqui",23.597,"AUSTRAITS_dataset_53"
"2592","Tecoma capensis",2.148,"AUSTRAITS_dataset_53"
"2597","Tecoma stans",9,"AUSTRAITS_dataset_53"
"2613","Toona ciliata",2,"AUSTRAITS_dataset_52"
"2630","Trema tomentosa",2.2,"AUSTRAITS_dataset_53"
"2631","Trema tomentosa",4.86,"Gallagher_field_workPHD"
"2647","Tristaniopsis laurina",10.25641026,"Floyd 1989"
"2672","Trophis scandens",80.55,"Gallagher_field_workPHD"
"2687","Wikstroemia indica",17,"AUSTRAITS_dataset_53"
"2696","Wilkiea huegeliana",169.46,"AUSTRAITS_dataset_10"
"2722","Wilkiea huegeliana",92.84,"Gallagher_field_workPHD"
