Taxon,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
Senna.septemtrionalis,9,8.65375,3,20.604,NA,NA
Senna.sulfurea,NA,19.635,11,42.6795,NA,NA
Sloanea.australis,6,59.21316667,45,NA,15.36101734,0.509
Sloanea.woollsii,3,35.535,45,NA,NA,0.523733333
Smilax.australis,6,53.425125,4,35.2845,11.21656857,NA
Solanum.chrysotrichum,NA,NA,NA,1.388,NA,NA
Solanum.mauritianum,9,119.4375,4,1.07,20.12699687,0.449091629
Solanum.seaforthianum,9,NA,NA,2.115,NA,NA
Solanum.torvum,NA,NA,NA,1,NA,NA
Stephania.japonica,6,40.52418182,1,20.58866667,21.61541145,NA
Sterculia.quadrifida,3,91.17933333,25,NA,NA,0.322
Streblus.brunonianus,9,11.42981667,30,12,21.07134504,0.68125
Synoum.glandulosum,3,42.32160577,20,202.231066,12.37756036,0.527571429
Syzygium.australe,3,13.24733333,24,243.7709461,13.04866537,0.6115
Syzygium.floribundum,2,24.456,30,1455.381038,13.58,0.5897
Syzygium.luehmannii,3,6.321,35,21.10370999,13.91718481,0.645
Syzygium.oleosum,10,19.34944444,17,198.3208963,11.3613777,0.751443983
Tabernaemontana.pandacaqui,6,26.01833333,4,23.597,NA,NA
Tecoma.capensis,6,2.625,3,2.148,NA,NA
Tecoma.stans,6,8.3125,5,9,NA,0.462
Toechima.tenax,3,6.15,30,NA,NA,0.6622
Toona.ciliata,4,30.40175,45,2,14.93281493,0.397125
Trema.tomentosa,4,21.958,6,3.53,27.54353253,0.356552427
Tristaniopsis.laurina,2,14.2245,30,10.25641026,7.205137828,0.761540363
Trophis.scandens,12,24.6769,NA,80.55,10.49585169,0.658939167
Turraea.pubescens,3,20.3,7,NA,NA,NA
Vitex.melicopea,NA,24.938,30,NA,NA,0.49
Wikstroemia.indica,2,5.206666667,4,17,25.1572327,0.58
Wilkiea.huegeliana,3,38.0299375,13.5,131.15,9.9607304,0.62095
Wilkiea.macrophylla,3,61.5,10,NA,NA,NA
